"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-22",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-23",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-24",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-25",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-26",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-27",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-28",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-29",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-30",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-31",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-01",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-02",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-03",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-04",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-05",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-06",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-07",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-08",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-09",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-10",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-11",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-13",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-14",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-15",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-16",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-17",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-18",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-19",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-20",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-21",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-22",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-23",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-24",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-25",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-26",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-27",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-28",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-29",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-04-30",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-01",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-02",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-03",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-04",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-05",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-06",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-07",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-08",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-09",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-10",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-11",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-12",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-13",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-14",,,"66",,
